A;B;Customers
AUM  - 10;CSI  - 11;4004
ATM_Trans_Days  - 11;ATM_Trans_Days  - 12;3999
AUM  - 08;Active_Payroll_Pension  - 09;3998
Tax_Payments  + 03;Remmitances_In  - 04;3997
ATM_Trans_Days  - 10;EBanking_Usage  + 11;3997
Card_Purchases  + 09;Total_Loan_Balances  + 10;3996
Tax_Payments  + 03;CSI  + 04;3992
AUM  + 11;ATM_Trans_Days  + 12;3986
Remmitances_Out  + 04;AUM  + 05;3985
AUM  + 06;Remmitances_In  + 07;3981
Remmitances_Out  - 04;ATM_Trans_Days  - 05;3980
Tax_Payments  - 07;Branch_Transaction_Days  + 08;3977
Total_Loan_Balances  - 07;CSI  + 08;3975
Salary  + 04;Remmitances_In  - 05;3970
Tax_Payments  - 02;CSI  - 03;3969
EBanking_Usage  - 06;Tax_Payments  + 07;3968
Card_Purchases  - 08;Total_Loan_Balances  + 09;3965
Total_Loan_Balances  + 03;EBanking_Usage  + 04;3962
Total_Loan_Balances  - 09;Total_Loan_Balances  - 10;3962
Debit_Cards_Prepaid_Cards  - 09;CSI  + 10;3962
Card_Purchases  - 10;CSI  - 11;3962
Remmitances_In  - 06;Card_Purchases  - 07;3961
Remmitances_In  - 05;Card_Purchases  - 06;3959
Remmitances_In  + 07;ATM_Trans_Days  + 08;3958
Card_Purchases  + 03;Active_Payroll_Pension  + 04;3957
Tax_Payments  - 06;Card_Purchases  - 07;3957
Branch_Transaction_Days  - 06;Public_Sector_Payments  + 07;3956
Remmitances_Out  - 05;Remmitances_Out  + 06;3956
ATM_Trans_Days  - 09;Salary  - 10;3955
Branch_Transaction_Days  - 10;AUM  + 11;3955
ATM_Trans_Days  - 06;Remmitances_Out  - 07;3955
Salary  + 03;Tax_Payments  - 04;3953
EBanking_Usage  + 05;CSI  - 06;3952
Card_Purchases  + 03;Active_GS  + 04;3952
Remmitances_Out  + 04;Remmitances_Out  - 05;3944
Card_Purchases  + 04;Active_GS  + 05;3943
AUM  - 08;Active_GS  - 09;3941
Salary  + 04;CSI  + 05;3939
Active_GS  - 01;AUM  - 02;3939
Debit_Cards_Prepaid_Cards  - 03;Public_Sector_Payments  + 04;3938
EBanking_Usage  - 05;Salary  + 06;3936
ATM_Trans_Days  - 10;EBanking_Usage  - 11;3933
CSI  - 04;Remmitances_In  - 05;3933
Card_Purchases  + 04;Active_Payroll_Pension  + 05;3927
Total_Loan_Balances  - 05;Branch_Transaction_Days  - 06;3926
CSI  - 10;Salary  - 11;3922
Public_Sector_Payments  + 08;AUM  + 09;3921
Salary  - 06;Total_Loan_Balances  + 07;3920
Tax_Payments  - 06;Salary  + 07;3918
EBanking_Usage  - 03;EBanking_Usage  - 04;3918
Tax_Payments  + 01;Public_Sector_Payments  + 02;3918
ATM_Trans_Days  + 08;Public_Sector_Payments  - 09;3917
Branch_Transaction_Days  + 03;Debit_Cards_Prepaid_Cards  + 04;3917
Tax_Payments  + 05;CSI  + 06;3916
Debit_Cards_Prepaid_Cards  + 01;Active_Payroll_Pension  + 02;3915
Branch_Transaction_Days  - 04;Total_Loan_Balances  - 05;3915
Branch_Transaction_Days  - 07;CSI  - 08;3914
Total_Loan_Balances  + 03;Public_Sector_Payments  - 04;3912
Public_Sector_Payments  + 07;ATM_Trans_Days  + 08;3911
EBanking_Usage  + 04;Debit_Cards_Prepaid_Cards  + 05;3909
Card_Purchases  - 07;Remmitances_In  + 08;3906
AUM  - 08;Remmitances_In  + 09;3901
Salary  + 07;EBanking_Usage  + 08;3897
Tax_Payments  + 04;Salary  - 05;3895
Branch_Transaction_Days  + 02;Total_Loan_Balances  + 03;3893
Tax_Payments  + 02;EBanking_Usage  - 03;3890
Debit_Cards_Prepaid_Cards  - 07;Card_Purchases  + 08;3889
Total_Loan_Balances  - 09;ATM_Trans_Days  - 10;3888
CSI  + 07;CSI  + 08;3887
Debit_Cards_Prepaid_Cards  - 01;Card_Purchases  - 02;3886
Total_Loan_Balances  + 05;Branch_Transaction_Days  + 06;3886
Remmitances_In  - 03;Card_Purchases  - 04;3883
Tax_Payments  + 06;Salary  + 07;3882
Total_Loan_Balances  + 05;Tax_Payments  - 06;3880
Debit_Cards_Prepaid_Cards  + 01;Active_GS  + 02;3879
EBanking_Usage  + 09;Card_Purchases  - 10;3877
Debit_Cards_Prepaid_Cards  - 05;AUM  - 06;3877
Salary  - 09;Card_Purchases  - 10;3876
Total_Loan_Balances  - 01;Tax_Payments  - 02;3873
EBanking_Usage  - 06;Tax_Payments  - 07;3872
Branch_Transaction_Days  + 08;Branch_Transaction_Days  - 09;3872
Public_Sector_Payments  + 05;Total_Loan_Balances  + 06;3868
EBanking_Usage  + 04;Total_Loan_Balances  + 05;3867
ATM_Trans_Days  + 03;Active_Payroll_Pension  + 04;3866
Remmitances_In  - 05;Public_Sector_Payments  + 06;3864
Salary  + 06;Tax_Payments  + 07;3864
CSI  + 07;Total_Loan_Balances  - 08;3863
EBanking_Usage  + 07;Tax_Payments  - 08;3862
Tax_Payments  + 03;Public_Sector_Payments  - 04;3861
AUM  - 07;Remmitances_Out  - 08;3860
CSI  - 07;CSI  - 08;3859
CSI  + 07;Tax_Payments  - 08;3858
Public_Sector_Payments  + 05;Tax_Payments  - 06;3857
Remmitances_In  - 06;Salary  + 07;3856
Public_Sector_Payments  - 08;AUM  + 09;3855
Total_Loan_Balances  + 04;Tax_Payments  - 05;3854
Branch_Transaction_Days  - 09;Card_Purchases  + 10;3854
ATM_Trans_Days  + 03;Active_GS  + 04;3852
Remmitances_Out  - 06;Salary  + 07;3851
Tax_Payments  + 02;Public_Sector_Payments  + 03;3850
Remmitances_Out  + 04;Branch_Transaction_Days  - 05;3849
Total_Loan_Balances  + 03;Tax_Payments  - 04;3843
Tax_Payments  + 03;EBanking_Usage  - 04;3843
AUM  - 08;Public_Sector_Payments  - 09;3841
Tax_Payments  + 04;Remmitances_In  - 05;3841
EBanking_Usage  + 05;Tax_Payments  - 06;3840
Total_Loan_Balances  + 03;Remmitances_Out  - 04;3840
ATM_Trans_Days  - 10;CSI  + 11;3839
Public_Sector_Payments  - 02;Debit_Cards_Prepaid_Cards  + 03;3839
Remmitances_In  - 06;CSI  + 07;3837
Tax_Payments  + 03;Remmitances_Out  - 04;3835
Branch_Transaction_Days  + 10;AUM  - 11;3834
AUM  - 03;Active_Payroll_Pension  + 04;3831
ATM_Trans_Days  - 06;Public_Sector_Payments  - 07;3825
Tax_Payments  - 07;CSI  + 08;3817
AUM  + 08;Remmitances_In  - 09;3817
Active_Payroll_Pension  - 10;Salary  - 11;3815
AUM  + 03;Remmitances_Out  + 04;3812
Debit_Cards_Prepaid_Cards  - 04;EBanking_Usage  - 05;3812
EBanking_Usage  + 04;Remmitances_In  - 05;3810
Remmitances_In  + 03;Branch_Transaction_Days  + 04;3810
Total_Loan_Balances  - 03;EBanking_Usage  + 04;3808
CSI  - 06;Remmitances_In  + 07;3806
Remmitances_In  - 04;EBanking_Usage  + 05;3806
EBanking_Usage  - 09;Card_Purchases  + 10;3804
Card_Purchases  + 09;CSI  + 10;3804
Salary  + 06;Branch_Transaction_Days  - 07;3804
Total_Loan_Balances  + 04;Branch_Transaction_Days  + 05;3803
Active_GS  + 01;Remmitances_Out  - 02;3802
Remmitances_Out  - 05;ATM_Trans_Days  - 06;3801
AUM  - 03;Active_GS  + 04;3798
Remmitances_Out  - 08;ATM_Trans_Days  + 09;3794
Debit_Cards_Prepaid_Cards  - 02;Card_Purchases  - 03;3790
Public_Sector_Payments  - 03;Card_Purchases  - 04;3788
EBanking_Usage  + 07;CSI  + 08;3788
Remmitances_Out  + 04;Card_Purchases  + 05;3787
Active_Payroll_Pension  - 01;AUM  - 02;3786
Remmitances_Out  - 02;Debit_Cards_Prepaid_Cards  + 03;3780
Branch_Transaction_Days  + 06;Salary  + 07;3776
Tax_Payments  + 03;EBanking_Usage  + 04;3775
Salary  - 03;Branch_Transaction_Days  - 04;3775
Total_Loan_Balances  + 05;CSI  + 06;3774
Card_Purchases  + 05;Public_Sector_Payments  + 06;3773
EBanking_Usage  + 09;EBanking_Usage  - 10;3773
Card_Purchases  + 10;EBanking_Usage  + 11;3763
Branch_Transaction_Days  + 04;Tax_Payments  + 05;3762
CSI  + 10;AUM  - 11;3759
CSI  - 01;Active_Payroll_Pension  + 02;3757
Salary  + 04;Total_Loan_Balances  - 05;3757
Total_Loan_Balances  + 04;Salary  - 05;3756
Public_Sector_Payments  - 06;Branch_Transaction_Days  + 07;3752
Tax_Payments  + 06;Total_Loan_Balances  + 07;3752
CSI  - 01;Active_GS  + 02;3751
Active_GS  - 02;CSI  + 03;3750
Debit_Cards_Prepaid_Cards  - 07;ATM_Trans_Days  - 08;3750
Salary  - 02;Debit_Cards_Prepaid_Cards  + 03;3749
Card_Purchases  - 09;Tax_Payments  - 10;3747
CSI  + 05;EBanking_Usage  - 06;3747
Tax_Payments  + 05;Salary  + 06;3747
Card_Purchases  - 04;Public_Sector_Payments  - 05;3746
EBanking_Usage  + 07;Salary  + 08;3742
CSI  + 08;Salary  + 09;3742
Debit_Cards_Prepaid_Cards  - 09;Debit_Cards_Prepaid_Cards  + 10;3741
Active_Payroll_Pension  + 01;Remmitances_Out  - 02;3741
Tax_Payments  - 05;Remmitances_In  + 06;3740
Total_Loan_Balances  + 03;Remmitances_In  - 04;3740
Card_Purchases  + 09;Branch_Transaction_Days  - 10;3738
Tax_Payments  - 08;Card_Purchases  - 09;3737
Public_Sector_Payments  + 04;Salary  + 05;3737
CSI  + 05;Tax_Payments  + 06;3736
Salary  - 10;AUM  + 11;3733
Salary  + 09;Salary  - 10;3730
Total_Loan_Balances  - 06;Salary  + 07;3727
Remmitances_In  - 04;Card_Purchases  - 05;3724
Remmitances_In  + 04;Branch_Transaction_Days  + 05;3722
Debit_Cards_Prepaid_Cards  + 03;CSI  - 04;3722
Total_Loan_Balances  + 04;EBanking_Usage  + 05;3720
EBanking_Usage  + 06;Branch_Transaction_Days  - 07;3717
EBanking_Usage  - 10;ATM_Trans_Days  - 11;3714
EBanking_Usage  - 03;Remmitances_In  + 04;3711
Remmitances_Out  + 04;CSI  - 05;3708
Tax_Payments  + 07;EBanking_Usage  - 08;3707
Debit_Cards_Prepaid_Cards  + 02;Public_Sector_Payments  - 03;3707
Active_Payroll_Pension  + 07;ATM_Trans_Days  + 08;3703
CSI  - 10;AUM  + 11;3703
CSI  - 09;Debit_Cards_Prepaid_Cards  + 10;3702
CSI  - 04;Tax_Payments  - 05;3701
EBanking_Usage  - 03;Debit_Cards_Prepaid_Cards  - 04;3700
ATM_Trans_Days  - 07;Remmitances_Out  + 08;3699
Card_Purchases  + 03;Debit_Cards_Prepaid_Cards  - 04;3698
Active_GS  + 07;ATM_Trans_Days  + 08;3696
Total_Loan_Balances  + 07;Tax_Payments  - 08;3691
AUM  - 06;Debit_Cards_Prepaid_Cards  - 07;3687
AUM  - 06;Debit_Cards_Prepaid_Cards  + 07;3686
Tax_Payments  + 07;Total_Loan_Balances  - 08;3685
Total_Loan_Balances  + 05;EBanking_Usage  + 06;3685
Active_Payroll_Pension  - 02;CSI  + 03;3684
EBanking_Usage  + 06;EBanking_Usage  + 07;3684
Tax_Payments  - 10;AUM  - 11;3681
Debit_Cards_Prepaid_Cards  + 02;Remmitances_In  - 03;3681
Card_Purchases  + 03;Debit_Cards_Prepaid_Cards  + 04;3681
Salary  + 04;Branch_Transaction_Days  + 05;3680
Branch_Transaction_Days  + 08;EBanking_Usage  + 09;3678
Card_Purchases  - 08;Public_Sector_Payments  + 09;3677
ATM_Trans_Days  + 08;Remmitances_Out  - 09;3676
Card_Purchases  + 10;Salary  + 11;3675
Total_Loan_Balances  - 07;CSI  - 08;3674
Branch_Transaction_Days  - 07;Total_Loan_Balances  + 08;3674
Active_GS  - 10;Salary  - 11;3674
Branch_Transaction_Days  + 06;Tax_Payments  + 07;3673
Remmitances_Out  + 05;Card_Purchases  - 06;3672
Remmitances_Out  + 03;Salary  - 04;3672
Salary  + 04;Public_Sector_Payments  + 05;3672
Card_Purchases  + 02;Remmitances_In  + 03;3669
ATM_Trans_Days  + 09;Salary  - 10;3667
Salary  + 09;ATM_Trans_Days  - 10;3660
Remmitances_Out  - 05;Remmitances_In  + 06;3657
Debit_Cards_Prepaid_Cards  - 03;Remmitances_In  + 04;3656
EBanking_Usage  + 03;Tax_Payments  - 04;3655
Tax_Payments  - 01;Branch_Transaction_Days  - 02;3655
Total_Loan_Balances  + 06;Branch_Transaction_Days  - 07;3653
Salary  + 05;CSI  - 06;3647
Branch_Transaction_Days  + 05;Remmitances_Out  - 06;3647
Total_Loan_Balances  + 04;Tax_Payments  + 05;3647
Remmitances_Out  - 06;CSI  + 07;3641
Tax_Payments  + 04;Public_Sector_Payments  - 05;3641
Remmitances_Out  - 01;Card_Purchases  - 02;3638
Card_Purchases  - 05;Remmitances_Out  - 06;3637
Salary  + 04;Public_Sector_Payments  - 05;3633
Total_Loan_Balances  + 06;Branch_Transaction_Days  + 07;3632
Active_GS  - 02;ATM_Trans_Days  + 03;3631
Card_Purchases  - 07;Remmitances_In  - 08;3630
Debit_Cards_Prepaid_Cards  - 03;EBanking_Usage  + 04;3629
AUM  + 07;Debit_Cards_Prepaid_Cards  + 08;3627
CSI  - 06;Public_Sector_Payments  + 07;3627
Public_Sector_Payments  + 08;Card_Purchases  - 09;3627
Tax_Payments  - 08;Total_Loan_Balances  + 09;3626
CSI  - 06;Remmitances_Out  + 07;3623
CSI  - 07;Total_Loan_Balances  - 08;3623
Card_Purchases  - 10;EBanking_Usage  - 11;3620
Debit_Cards_Prepaid_Cards  + 01;Tax_Payments  - 02;3617
AUM  + 10;Branch_Transaction_Days  + 11;3617
Salary  + 05;Tax_Payments  + 06;3616
Remmitances_Out  - 02;Card_Purchases  - 03;3615
Public_Sector_Payments  + 06;Card_Purchases  + 07;3614
Tax_Payments  + 05;Total_Loan_Balances  + 06;3610
EBanking_Usage  - 02;Salary  - 03;3610
AUM  + 05;Debit_Cards_Prepaid_Cards  - 06;3608
Branch_Transaction_Days  + 05;Salary  + 06;3607
CSI  + 06;Public_Sector_Payments  - 07;3604
EBanking_Usage  + 04;Tax_Payments  - 05;3603
Public_Sector_Payments  - 04;ATM_Trans_Days  - 05;3601
Remmitances_Out  - 04;EBanking_Usage  + 05;3590
Remmitances_In  - 07;Card_Purchases  - 08;3588
Salary  + 08;Card_Purchases  - 09;3587
Tax_Payments  + 05;Remmitances_In  - 06;3585
Tax_Payments  + 07;Branch_Transaction_Days  + 08;3585
Salary  + 08;Salary  + 09;3584
Branch_Transaction_Days  - 03;Debit_Cards_Prepaid_Cards  - 04;3583
Debit_Cards_Prepaid_Cards  + 02;Card_Purchases  - 03;3583
AUM  + 01;Credit_Cards  + 02;3582
Branch_Transaction_Days  - 05;Total_Loan_Balances  - 06;3581
Total_Loan_Balances  + 08;Card_Purchases  - 09;3581
Branch_Transaction_Days  + 01;Debit_Cards_Prepaid_Cards  - 02;3579
Remmitances_In  - 05;Remmitances_Out  + 06;3572
Public_Sector_Payments  - 06;CSI  + 07;3572
AUM  - 06;Active_GS  + 07;3571
AUM  - 06;Active_Payroll_Pension  + 07;3569
Active_Payroll_Pension  + 07;Card_Purchases  + 08;3566
Total_Loan_Balances  + 06;CSI  - 07;3566
Debit_Cards_Prepaid_Cards  - 07;AUM  + 08;3563
Card_Purchases  - 08;Total_Loan_Balances  - 09;3563
Salary  - 01;Tax_Payments  - 02;3562
Remmitances_In  + 03;CSI  + 04;3562
ATM_Trans_Days  - 09;Total_Loan_Balances  - 10;3561
CSI  + 06;Remmitances_In  - 07;3560
Active_GS  + 07;Card_Purchases  + 08;3560
Tax_Payments  - 06;EBanking_Usage  + 07;3559
Branch_Transaction_Days  + 09;Card_Purchases  - 10;3558
Tax_Payments  - 07;EBanking_Usage  + 08;3557
Total_Loan_Balances  - 06;Tax_Payments  - 07;3557
Active_Payroll_Pension  + 07;Salary  + 08;3556
Active_GS  + 07;Salary  + 08;3555
Public_Sector_Payments  + 05;Remmitances_Out  - 06;3553
Remmitances_Out  + 06;ATM_Trans_Days  - 07;3553
Debit_Cards_Prepaid_Cards  - 02;Branch_Transaction_Days  - 03;3551
EBanking_Usage  - 05;Tax_Payments  - 06;3549
Public_Sector_Payments  - 08;Card_Purchases  + 09;3543
Branch_Transaction_Days  + 08;Tax_Payments  - 09;3542
Total_Loan_Balances  + 06;EBanking_Usage  + 07;3541
Salary  + 06;Remmitances_In  - 07;3537
Debit_Cards_Prepaid_Cards  - 03;Card_Purchases  - 04;3536
Total_Loan_Balances  + 04;Public_Sector_Payments  + 05;3535
Active_Payroll_Pension  - 02;ATM_Trans_Days  + 03;3532
Branch_Transaction_Days  - 07;EBanking_Usage  - 08;3531
Card_Purchases  - 11;ATM_Trans_Days  - 12;3531
Branch_Transaction_Days  + 06;Salary  - 07;3530
CSI  + 06;Salary  - 07;3529
Branch_Transaction_Days  - 07;Salary  + 08;3528
CSI  - 01;Credit_Cards  + 02;3527
EBanking_Usage  - 07;Branch_Transaction_Days  + 08;3527
Public_Sector_Payments  - 04;EBanking_Usage  + 05;3526
Remmitances_In  + 02;EBanking_Usage  + 03;3523
Public_Sector_Payments  - 05;Remmitances_In  + 06;3521
Remmitances_In  - 09;AUM  + 10;3521
EBanking_Usage  + 05;Total_Loan_Balances  + 06;3518
Remmitances_Out  - 08;AUM  + 09;3516
AUM  - 11;Card_Purchases  + 12;3516
CSI  + 06;Remmitances_Out  - 07;3515
Salary  + 04;Tax_Payments  - 05;3515
Branch_Transaction_Days  - 05;Tax_Payments  - 06;3514
Total_Loan_Balances  + 03;Branch_Transaction_Days  + 04;3514
Tax_Payments  + 04;Remmitances_Out  - 05;3514
Card_Purchases  - 07;Remmitances_Out  + 08;3511
ATM_Trans_Days  + 11;ATM_Trans_Days  + 12;3510
CSI  - 07;Branch_Transaction_Days  - 08;3510
CSI  + 10;ATM_Trans_Days  + 11;3509
EBanking_Usage  - 08;CSI  - 09;3507
Tax_Payments  + 08;Card_Purchases  + 09;3506
Tax_Payments  + 07;CSI  - 08;3502
AUM  - 10;EBanking_Usage  - 11;3500
Active_GS  + 05;AUM  - 06;3499
Remmitances_Out  + 03;Total_Loan_Balances  - 04;3497
Active_Payroll_Pension  + 05;AUM  - 06;3495
Card_Purchases  - 08;Salary  - 09;3495
Card_Purchases  - 03;Active_Payroll_Pension  + 04;3494
ATM_Trans_Days  - 09;Debit_Cards_Prepaid_Cards  - 10;3494
Tax_Payments  + 05;Salary  - 06;3493
EBanking_Usage  - 10;Card_Purchases  - 11;3488
Branch_Transaction_Days  + 06;Total_Loan_Balances  + 07;3486
Card_Purchases  - 03;Active_GS  + 04;3486
Debit_Cards_Prepaid_Cards  - 01;Salary  + 02;3485
ATM_Trans_Days  + 11;ATM_Trans_Days  - 12;3482
AUM  + 02;Remmitances_Out  + 03;3481
Salary  + 05;Remmitances_In  - 06;3479
AUM  + 09;Salary  - 10;3477
EBanking_Usage  + 06;CSI  - 07;3476
EBanking_Usage  - 06;Salary  + 07;3474
EBanking_Usage  - 02;Debit_Cards_Prepaid_Cards  + 03;3472
Debit_Cards_Prepaid_Cards  + 08;ATM_Trans_Days  + 09;3471
CSI  + 01;Credit_Cards  + 02;3471
Salary  - 07;CSI  + 08;3470
EBanking_Usage  - 07;Tax_Payments  - 08;3469
AUM  - 11;Salary  + 12;3468
Remmitances_Out  - 06;ATM_Trans_Days  - 07;3468
Branch_Transaction_Days  + 05;Total_Loan_Balances  + 06;3463
Total_Loan_Balances  - 02;Debit_Cards_Prepaid_Cards  + 03;3462
CSI  - 05;Tax_Payments  - 06;3462
ATM_Trans_Days  - 01;Active_GS  + 02;3459
Tax_Payments  + 06;CSI  + 07;3453
Salary  - 01;EBanking_Usage  - 02;3452
Card_Purchases  + 11;AUM  - 12;3450
Salary  + 03;Branch_Transaction_Days  + 04;3447
Credit_Cards  - 01;CSI  + 02;3446
EBanking_Usage  + 08;Tax_Payments  - 09;3443
Branch_Transaction_Days  - 06;Remmitances_Out  + 07;3443
Branch_Transaction_Days  + 07;EBanking_Usage  - 08;3441
AUM  + 05;Active_GS  + 06;3438
AUM  + 05;Active_Payroll_Pension  + 06;3436
Salary  + 06;CSI  - 07;3435
EBanking_Usage  + 10;Card_Purchases  + 11;3433
Public_Sector_Payments  - 06;Salary  + 07;3433
ATM_Trans_Days  - 03;Active_GS  - 04;3431
ATM_Trans_Days  + 07;Remmitances_In  + 08;3426
ATM_Trans_Days  - 08;Remmitances_In  - 09;3425
Debit_Cards_Prepaid_Cards  - 02;Salary  + 03;3424
Public_Sector_Payments  + 04;Total_Loan_Balances  + 05;3424
Tax_Payments  - 07;Salary  + 08;3422
AUM  - 09;Public_Sector_Payments  + 10;3421
Total_Loan_Balances  - 07;Tax_Payments  - 08;3421
Public_Sector_Payments  + 02;Debit_Cards_Prepaid_Cards  + 03;3419
Tax_Payments  - 02;Debit_Cards_Prepaid_Cards  + 03;3419
Branch_Transaction_Days  + 04;Total_Loan_Balances  + 05;3419
Salary  + 07;Branch_Transaction_Days  + 08;3417
AUM  - 10;Branch_Transaction_Days  - 11;3417
Debit_Cards_Prepaid_Cards  - 01;Tax_Payments  + 02;3416
Public_Sector_Payments  - 02;CSI  - 03;3416
Branch_Transaction_Days  + 04;Remmitances_In  - 05;3415
Remmitances_Out  - 08;Card_Purchases  + 09;3413
Remmitances_Out  - 06;Tax_Payments  + 07;3413
Debit_Cards_Prepaid_Cards  - 04;Branch_Transaction_Days  + 05;3412
CSI  - 07;Total_Loan_Balances  + 08;3409
Total_Loan_Balances  + 10;Total_Loan_Balances  + 11;3409
Debit_Cards_Prepaid_Cards  - 02;Tax_Payments  + 03;3408
CSI  + 04;Tax_Payments  + 05;3404
ATM_Trans_Days  - 01;Active_Payroll_Pension  + 02;3398
Salary  + 06;Tax_Payments  - 07;3397
Card_Purchases  + 11;AUM  + 12;3395
ATM_Trans_Days  + 07;Debit_Cards_Prepaid_Cards  + 08;3395
Remmitances_In  - 05;EBanking_Usage  + 06;3395
Remmitances_Out  + 07;AUM  - 08;3394
Card_Purchases  + 01;Credit_Cards  + 02;3392
CSI  - 07;Salary  + 08;3389
Debit_Cards_Prepaid_Cards  - 01;Remmitances_Out  + 02;3389
Public_Sector_Payments  + 07;Public_Sector_Payments  - 08;3387
Card_Purchases  - 05;Public_Sector_Payments  - 06;3386
CSI  - 03;POS  + 04;3386
Branch_Transaction_Days  + 03;Total_Loan_Balances  + 04;3386
ATM_Trans_Days  - 02;Active_GS  + 03;3380
Tax_Payments  + 07;Branch_Transaction_Days  - 08;3379
CSI  - 10;ATM_Trans_Days  - 11;3379
Remmitances_In  + 03;Salary  - 04;3378
Branch_Transaction_Days  - 06;Tax_Payments  - 07;3376
ATM_Trans_Days  + 01;Credit_Cards  + 02;3373
EBanking_Usage  - 07;Branch_Transaction_Days  - 08;3373
Branch_Transaction_Days  + 05;Public_Sector_Payments  - 06;3372
Card_Purchases  + 06;Public_Sector_Payments  + 07;3370
ATM_Trans_Days  + 06;Debit_Cards_Prepaid_Cards  - 07;3369
Remmitances_In  + 03;Total_Loan_Balances  - 04;3369
AUM  + 08;Public_Sector_Payments  + 09;3368
Debit_Cards_Prepaid_Cards  + 08;AUM  - 09;3365
Remmitances_In  - 06;Tax_Payments  + 07;3360
Branch_Transaction_Days  + 07;Salary  + 08;3355
Total_Loan_Balances  + 10;AUM  + 11;3352
Salary  - 06;Public_Sector_Payments  + 07;3352
ATM_Trans_Days  - 02;Active_Payroll_Pension  + 03;3351
CSI  + 09;CSI  - 10;3347
EBanking_Usage  - 03;Total_Loan_Balances  + 04;3344
Total_Loan_Balances  + 09;Card_Purchases  + 10;3343
AUM  - 10;Total_Loan_Balances  + 11;3343
Tax_Payments  - 10;AUM  + 11;3342
Branch_Transaction_Days  - 07;Tax_Payments  + 08;3335
CSI  - 02;Debit_Cards_Prepaid_Cards  - 03;3333
Debit_Cards_Prepaid_Cards  + 06;ATM_Trans_Days  - 07;3332
AUM  + 04;Remmitances_Out  + 05;3331
Public_Sector_Payments  - 06;Tax_Payments  + 07;3329
AUM  - 02;Active_GS  + 03;3322
Active_Payroll_Pension  + 06;AUM  - 07;3321
Public_Sector_Payments  - 06;Total_Loan_Balances  + 07;3321
AUM  + 01;Remmitances_Out  + 02;3320
Active_GS  + 06;AUM  - 07;3320
Remmitances_Out  + 03;Tax_Payments  - 04;3316
ATM_Trans_Days  - 10;Branch_Transaction_Days  + 11;3312
Branch_Transaction_Days  + 03;Salary  + 04;3310
EBanking_Usage  - 02;Total_Loan_Balances  - 03;3310
Remmitances_Out  - 06;Total_Loan_Balances  + 07;3306
Remmitances_Out  - 03;Card_Purchases  - 04;3306
Total_Loan_Balances  - 09;Card_Purchases  + 10;3305
Active_GS  + 01;AUM  - 02;3304
EBanking_Usage  + 05;Remmitances_Out  - 06;3303
Branch_Transaction_Days  - 07;EBanking_Usage  + 08;3303
Debit_Cards_Prepaid_Cards  - 01;Total_Loan_Balances  + 02;3302
CSI  + 09;Card_Purchases  - 10;3301
Tax_Payments  - 06;Public_Sector_Payments  + 07;3300
Total_Loan_Balances  + 10;AUM  - 11;3300
AUM  - 02;Active_Payroll_Pension  + 03;3299
Debit_Cards_Prepaid_Cards  + 07;AUM  + 08;3296
AUM  + 10;CSI  + 11;3294
EBanking_Usage  + 05;Remmitances_In  - 06;3292
Card_Purchases  + 08;Public_Sector_Payments  - 09;3292
Remmitances_In  + 07;Branch_Transaction_Days  + 08;3292
POS  - 03;CSI  + 04;3290
EBanking_Usage  - 04;Salary  + 05;3287
Card_Purchases  + 08;Remmitances_Out  - 09;3285
CSI  + 10;Card_Purchases  + 11;3279
EBanking_Usage  - 03;Salary  + 04;3277
Remmitances_Out  + 05;ATM_Trans_Days  + 06;3275
